Epoch Time,x,y,z
1717694303.209062,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694303.2191012,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694303.2291403,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694303.2391791,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.2492182,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.259257,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694303.2692962,-391.34926266140405,-391.34926266140405,-391.37261885183824
1717694303.2793353,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.289374,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.2994132,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694303.309452,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.3194911,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694303.3295302,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694303.339569,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694303.3496082,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.359647,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694303.3696861,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694303.3797252,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.389764,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694303.3998032,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694303.409842,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694303.419881,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694303.4299202,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694303.439959,-391.34926266140405,-391.37261885183824,-391.37261885183824
1717694303.4499981,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.460037,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.470076,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694303.4801152,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.490154,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.500193,-391.3609186808268,-391.384274871261,-391.3609186808268
1717694303.510232,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.520271,-391.37261885183824,-391.37261885183824,-391.34926266140405
1717694303.5303102,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.540349,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694303.550388,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.560427,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.570466,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694303.5805051,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694303.590544,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.600583,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694303.610622,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694303.620661,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694303.6307,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694303.640739,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694303.650778,-391.3609186808268,-391.3609186808268,-391.3609186808268
